Z_idx,physics,r_pearson,p_pearson,r_spearman,p_spearman,p_adj
13,Electronegativity,0.07043320613792768,6.185728165482072e-07,0.06126209386549982,1.4584437972524114e-05,7.216682859729085e-07
13,Valence Electrons,-0.16890940041913483,2.556122193365937e-33,-0.28575832907271653,1.3927485307570524e-94,4.1490679080722455e-33
13,Atomic Radius,0.1285714959888098,7.041885881199738e-20,0.2118067420623005,8.126145555201413e-52,9.618185593833789e-20
13,Thermal Conductivity,0.10884993763382618,1.1829041913761955e-14,0.16749303524741554,8.77722537797784e-33,1.5055144253878854e-14
13,Density,-0.0019098522351306407,0.8926013554553345,-0.1876145792735485,7.701407110211073e-41,0.9088304710090679
13,Fusion Heat,-0.15754719163607683,3.744530096368166e-29,-0.22298295644225025,2.249714329013618e-57,5.82482459435048e-29
14,Atomic Mass,-0.27901177824846013,4.444846892817291e-90,-0.19648906861070145,1.0603673261377419e-44,9.95645703991073e-90
14,Electronegativity,0.12938199128794986,4.11414214471271e-20,0.2280429713225356,5.405695808720677e-60,5.688690372936093e-20
14,Valence Electrons,-0.5913484830876484,0.0,-0.5836112782447483,0.0,0.0
14,Atomic Radius,-0.0746601260046038,1.254813807813891e-07,-0.04713039353196371,0.0008571712138666281,1.495097302927189e-07
14,Thermal Conductivity,0.12337891967074144,2.032090893254448e-18,0.20133377047503007,6.871628710277102e-47,2.709454524339264e-18
14,Density,-0.5388635131622972,0.0,-0.4561518984756412,1.6037639848026634e-255,0.0
14,Fusion Heat,-0.46060077626567847,3.9540514795037173e-261,-0.5281687148754721,0.0,1.771415062817665e-260
15,Atomic Mass,-0.1453521987885279,5.140685513633548e-25,-0.10416595847808938,1.537213852393738e-13,7.575747072723123e-25
15,Electronegativity,0.030933056232852776,0.028722536670922866,0.06565855303407814,3.3742717076913402e-06,0.03093196256868616
15,Valence Electrons,-0.34802280906768973,2.457325521914141e-142,-0.3862529404879804,1.3034204780602818e-177,6.712694108643508e-142
15,Atomic Radius,0.02171982082013649,0.12463150932581613,0.025564796411493444,0.07067695426511962,0.13294027661420388
15,Thermal Conductivity,0.2533729558096906,4.329223472047869e-74,0.3212345302939244,2.1947595203123055e-120,9.324481324410794e-74
15,Density,-0.24279131129479992,5.330771572659793e-68,-0.32844783907609426,4.421383909829279e-126,1.0661543145319586e-67
15,Fusion Heat,-0.1522645818902481,2.5578545712506865e-27,-0.2627006984697603,1.055744280566577e-79,3.871347459190228e-27
